Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.18,-.30,-.05,-.40,-.13,-.02,-.80,-.48,-.33,-.15,-.10,-.04,.05,.66
1881,-.09,-.18,.00,-.35,.10,-.07,-.90,-.43,-.24,.10,.11,-.05,-.07,.58
1882,-.11,-.22,-.01,-.31,-.05,.01,-1.39,-.25,-.17,-.05,-.04,.01,.04,.61
1883,-.17,-.29,-.07,-.35,-.16,-.01,-.17,-.54,-.29,-.17,-.15,-.04,.07,.48
1884,-.28,-.43,-.15,-.61,-.14,-.14,-1.29,-.62,-.49,-.13,-.16,-.19,-.02,.63
1885,-.33,-.44,-.24,-.66,-.13,-.28,-1.50,-.67,-.48,-.06,-.20,-.34,-.15,.81
1886,-.31,-.43,-.20,-.57,-.19,-.22,-1.58,-.49,-.41,-.20,-.18,-.20,-.20,.57
1887,-.36,-.43,-.29,-.53,-.29,-.28,-1.75,-.50,-.31,-.29,-.30,-.28,-.26,.30
1888,-.17,-.23,-.12,-.42,.11,-.29,-1.29,-.42,-.26,.08,.14,-.31,-.23,.14
1889,-.10,-.17,-.04,-.30,.09,-.16,-.67,-.21,-.29,.02,.15,-.15,-.15,.43
1890,-.35,-.38,-.32,-.45,-.36,-.23,-1.12,-.54,-.28,-.26,-.46,-.18,-.27,.13
1891,-.22,-.26,-.19,-.43,-.07,-.22,-1.11,-.33,-.37,.01,-.16,-.18,-.24,-.17
1892,-.27,-.40,-.15,-.44,-.29,-.08,-1.13,-.65,-.18,-.33,-.26,.02,-.21,.07
1893,-.31,-.47,-.15,-.51,-.36,-.05,-.64,-.55,-.48,-.41,-.30,.07,-.20,-.06
1894,-.30,-.38,-.21,-.32,-.33,-.24,-.90,-.32,-.20,-.48,-.18,-.15,-.35,-.39
1895,-.22,-.30,-.15,-.40,-.07,-.26,-.64,-.52,-.28,-.14,.01,-.20,-.32,-.60
1896,-.11,-.19,-.02,-.35,.10,-.15,-.82,-.36,-.23,.06,.15,-.15,-.13,.24
1897,-.10,-.16,-.04,-.35,.18,-.23,-.51,-.46,-.25,.14,.22,-.18,-.27,.39
1898,-.27,-.29,-.25,-.35,-.21,-.26,-1.13,-.24,-.24,-.18,-.25,-.27,-.21,.36
1899,-.17,-.21,-.13,-.24,-.11,-.18,-1.01,-.09,-.16,-.16,-.07,-.15,-.22,.57
1900,-.08,-.09,-.06,-.20,.18,-.30,-.52,-.15,-.16,.09,.27,-.28,-.29,.26
1901,-.15,-.12,-.17,-.16,-.03,-.30,-.37,-.10,-.16,-.06,.00,-.27,-.33,.24
1902,-.27,-.32,-.21,-.51,-.03,-.35,-1.29,-.50,-.33,-.02,-.04,-.28,-.43,-.06
1903,-.36,-.37,-.36,-.46,-.28,-.38,-.18,-.42,-.57,-.23,-.32,-.35,-.40,-.50
1904,-.46,-.48,-.45,-.51,-.45,-.44,-.14,-.59,-.56,-.44,-.46,-.37,-.49,-1.33
1905,-.26,-.29,-.21,-.41,-.07,-.35,-.03,-.22,-.63,-.12,-.03,-.32,-.37,-.35
1906,-.22,-.24,-.19,-.26,-.18,-.23,-.25,-.06,-.40,-.22,-.14,-.20,-.22,-.72
1907,-.38,-.48,-.28,-.59,-.29,-.29,-.55,-.72,-.53,-.31,-.28,-.20,-.37,-1.21
1908,-.42,-.46,-.39,-.48,-.43,-.35,-.21,-.54,-.53,-.43,-.43,-.28,-.48,.66
1909,-.48,-.50,-.46,-.54,-.46,-.44,-.72,-.62,-.45,-.44,-.49,-.37,-.52,-.58
1910,-.43,-.44,-.42,-.42,-.47,-.38,-.54,-.24,-.51,-.47,-.47,-.33,-.45,.15
1911,-.44,-.42,-.45,-.42,-.41,-.48,-.25,-.42,-.48,-.43,-.40,-.43,-.53,.04
1912,-.36,-.47,-.24,-.60,-.17,-.37,-.49,-.79,-.51,-.27,-.06,-.36,-.29,-1.64
1913,-.34,-.42,-.25,-.45,-.26,-.35,-.48,-.33,-.52,-.39,-.12,-.28,-.40,-1.05
1914,-.15,-.19,-.10,-.25,-.05,-.18,-.34,-.16,-.30,-.11,.01,-.15,-.18,-.37
1915,-.14,-.15,-.12,-.24,.00,-.22,-.58,-.17,-.20,-.02,.01,-.15,-.23,-1.99
1916,-.36,-.42,-.30,-.37,-.44,-.23,-.43,-.54,-.26,-.50,-.39,-.22,-.17,-1.06
1917,-.46,-.58,-.35,-.51,-.63,-.19,-.80,-.50,-.45,-.69,-.56,-.23,-.09,.05
1918,-.29,-.40,-.19,-.41,-.33,-.14,-.99,-.27,-.36,-.39,-.26,-.06,-.23,-.29
1919,-.28,-.35,-.19,-.44,-.19,-.22,-.69,-.56,-.32,-.23,-.15,-.14,-.32,.19
1920,-.27,-.30,-.23,-.26,-.24,-.32,.01,-.20,-.36,-.37,-.11,-.19,-.48,-1.15
1921,-.18,-.11,-.26,.01,-.24,-.31,.03,.17,-.10,-.29,-.19,-.22,-.38,-.85
1922,-.28,-.28,-.29,-.25,-.31,-.27,-.28,-.40,-.15,-.32,-.31,-.24,-.29,-.29
1923,-.26,-.22,-.30,-.16,-.29,-.34,.19,-.15,-.27,-.32,-.26,-.26,-.41,-.56
1924,-.27,-.19,-.35,-.14,-.25,-.43,.48,-.25,-.24,-.27,-.24,-.39,-.45,-.54
1925,-.22,-.14,-.29,-.05,-.24,-.37,-.07,.18,-.20,-.28,-.19,-.24,-.55,-.87
1926,-.11,.01,-.21,.02,.02,-.40,.57,.15,-.23,.01,.03,-.35,-.45,-.65
1927,-.22,-.14,-.29,-.14,-.15,-.38,.03,-.22,-.14,-.14,-.17,-.30,-.45,-1.39
1928,-.20,-.10,-.29,-.07,-.14,-.39,.71,-.17,-.24,-.14,-.15,-.28,-.48,-2.13
1929,-.36,-.34,-.38,-.38,-.27,-.45,.14,-.62,-.39,-.27,-.27,-.42,-.44,-1.09
1930,-.15,-.01,-.28,.04,-.10,-.42,.54,.04,-.11,-.09,-.11,-.33,-.47,-2.61
1931,-.09,.05,-.21,.01,.09,-.43,.57,-.04,-.15,.11,.06,-.42,-.40,-.42
1932,-.16,-.05,-.25,.03,-.15,-.35,.49,.19,-.22,-.18,-.13,-.21,-.53,-1.00
1933,-.28,-.25,-.31,-.24,-.27,-.34,-.16,-.47,-.13,-.28,-.27,-.22,-.48,-1.16
1934,-.12,.00,-.25,.17,-.25,-.26,.88,.31,-.13,-.25,-.24,-.15,-.38,-.58
1935,-.20,-.10,-.29,-.05,-.18,-.38,.35,-.05,-.17,-.16,-.19,-.30,-.41,-1.72
1936,-.15,-.03,-.25,-.03,-.12,-.30,.40,.10,-.26,-.04,-.20,-.26,-.33,-.05
1937,-.03,.12,-.17,.19,-.05,-.22,1.24,.02,-.03,.01,-.10,-.19,-.26,.35
1938,.00,.16,-.18,.38,-.22,-.10,1.50,.38,.02,-.17,-.26,-.06,-.11,-.88
1939,-.02,.09,-.12,.22,-.11,-.12,.56,.28,.08,-.11,-.12,-.04,-.19,-1.61
1940,.13,.17,.10,.11,.29,-.07,1.00,-.02,-.10,.28,.30,.03,-.20,-.07
1941,.19,.23,.17,.01,.50,-.05,.00,-.10,.08,.55,.44,.04,-.15,-.48
1942,.07,.13,.01,.13,.08,-.01,.73,-.07,.06,.12,.04,.06,-.05,-.91
1943,.09,.18,-.01,.37,-.08,.04,1.41,.28,.10,-.10,-.06,.07,.00,1.13
1944,.20,.27,.15,.38,.19,.05,1.17,.47,.09,.11,.27,.19,-.10,-.96
1945,.09,.10,.09,.11,.17,-.03,.63,-.02,.04,.10,.25,.03,.00,-1.79
1946,-.07,.03,-.17,.06,-.04,-.24,-.03,-.05,.16,-.02,-.06,-.22,-.24,-.19
1947,-.02,.08,-.13,.15,-.05,-.16,1.07,-.13,.04,-.03,-.08,-.19,-.08,-.23
1948,-.10,-.01,-.19,.13,-.18,-.24,.12,.32,.00,-.22,-.13,-.20,-.19,-1.39
1949,-.11,-.03,-.19,.11,-.18,-.23,.21,.17,.05,-.23,-.14,-.18,-.15,-1.99
1950,-.17,-.15,-.20,-.05,-.29,-.15,.19,-.31,.04,-.30,-.27,-.06,-.16,-.87
1951,-.07,.05,-.18,.08,-.06,-.23,.08,.01,.12,.00,-.11,-.22,-.16,-.70
1952,.01,.06,-.03,.11,.02,-.09,.27,-.09,.19,-.01,.05,-.10,-.02,-.52
1953,.08,.24,-.07,.35,.07,-.18,1.02,.35,.14,.08,.07,-.08,-.24,-1.12
1954,-.13,-.01,-.25,.07,-.21,-.22,.80,-.21,.00,-.14,-.29,-.18,-.20,-.82
1955,-.14,-.09,-.21,.05,-.34,-.06,-.25,-.11,.23,-.29,-.38,-.16,-.08,1.22
1956,-.19,-.23,-.16,-.20,-.33,.00,.01,-.47,-.08,-.28,-.37,-.14,.02,.76
1957,.05,.04,.06,.03,.08,.02,.09,.22,-.11,.06,.10,-.09,-.02,.50
1958,.06,.16,-.02,.08,.21,-.15,-.17,.14,.13,.26,.15,-.08,-.08,-.53
1959,.03,.13,-.06,.16,.08,-.16,.48,.18,.05,.07,.08,-.03,-.26,-.36
1960,-.02,.08,-.13,.09,.02,-.20,.33,-.07,.11,.06,-.03,-.10,-.07,-.75
1961,.06,.09,.03,.19,-.03,.05,-.15,.38,.18,-.07,.00,.14,-.17,.21
1962,.03,.13,-.06,.24,-.05,-.08,.44,.31,.14,-.04,-.05,.09,-.07,-.65
1963,.05,.14,-.03,.14,.12,-.12,-.17,.31,.13,.14,.10,-.10,-.17,-.03
1964,-.20,-.19,-.20,-.23,-.14,-.24,-.67,-.20,-.12,-.14,-.14,-.30,-.07,-.38
1965,-.11,-.14,-.07,-.19,-.03,-.13,-.28,-.24,-.12,-.08,.02,-.23,-.03,-.01
1966,-.06,-.02,-.09,-.14,.08,-.15,-.76,-.19,.09,.16,-.01,-.24,-.14,.11
1967,-.02,.03,-.08,.12,-.14,-.01,.36,.26,-.05,-.11,-.17,-.09,-.02,.30
1968,-.08,-.07,-.09,-.11,-.07,-.08,-.33,-.02,-.09,-.02,-.11,-.14,.00,-.05
1969,.05,-.03,.14,-.29,.33,.02,-.04,-.61,-.17,.35,.32,.00,.13,-.14
1970,.03,-.04,.09,-.11,.06,.11,-.21,-.13,-.07,.06,.06,.11,.03,.31
1971,-.08,-.15,-.02,-.06,-.26,.13,-.08,.02,-.10,-.30,-.22,.03,.16,.44
1972,.01,-.18,.20,-.34,.16,.14,-.36,-.47,-.25,.06,.26,.16,-.02,.45
1973,.16,.09,.23,.11,.19,.18,.07,.27,.02,.08,.30,.22,.08,.34
1974,-.07,-.18,.03,-.14,-.20,.18,-.19,-.07,-.18,-.23,-.17,.22,-.08,.65
1975,-.01,-.06,.02,.12,-.24,.16,.10,.39,-.05,-.31,-.17,.13,.14,.29
1976,-.10,-.21,.01,-.26,-.12,.09,-.07,-.32,-.28,-.13,-.10,.11,.22,-.24
1977,.18,.12,.24,.13,.15,.25,.16,.24,.06,.09,.22,.22,.31,.28
1978,.07,.02,.11,-.04,.07,.16,-.15,.03,-.04,.10,.05,.21,.13,.04
1979,.16,.08,.25,-.03,.26,.23,-.60,.06,.08,.25,.27,.30,.33,-.20
1980,.26,.17,.35,.06,.31,.39,.26,.02,.02,.32,.29,.35,.37,.59
1981,.32,.37,.27,.48,.18,.36,1.10,.78,.08,.22,.14,.28,.39,.61
1982,.14,.05,.23,-.08,.27,.18,-.39,.10,-.08,.25,.29,.19,.32,-.11
1983,.31,.25,.38,.22,.43,.25,.19,.69,-.07,.29,.58,.21,.41,.05
1984,.16,.04,.28,.02,.18,.26,.37,.08,-.14,.07,.30,.16,.32,.51
1985,.12,.00,.24,-.03,.09,.30,.39,-.27,-.01,.04,.14,.30,.44,.04
1986,.18,.13,.23,.11,.22,.20,.01,.28,.03,.17,.28,.25,.25,-.11
1987,.32,.25,.40,.04,.58,.25,-.36,.13,.12,.55,.62,.32,.25,.00
1988,.39,.37,.40,.40,.37,.39,.59,.57,.24,.32,.42,.38,.20,.87
1989,.27,.27,.27,.40,.12,.34,.33,.69,.25,.06,.19,.36,.30,.35
1990,.45,.52,.37,.63,.37,.37,.59,.88,.48,.37,.36,.38,.37,.35
1991,.40,.41,.40,.47,.36,.39,.75,.66,.26,.32,.40,.31,.29,.95
1992,.22,.13,.30,.10,.28,.27,-.16,.44,-.03,.20,.36,.20,.33,.39
1993,.23,.19,.27,.13,.32,.22,.55,.29,-.11,.28,.35,.27,.39,-.31
1994,.31,.37,.26,.43,.31,.20,.35,.50,.42,.28,.33,.26,.23,-.06
1995,.44,.58,.31,.70,.42,.22,1.32,.99,.31,.40,.44,.29,.15,.15
1996,.32,.26,.38,.23,.31,.43,.77,.17,.10,.31,.32,.33,.28,1.19
1997,.46,.52,.41,.53,.50,.33,.77,.90,.22,.49,.51,.42,.36,-.03
1998,.60,.70,.51,.78,.69,.32,.87,.94,.65,.60,.78,.39,.31,.11
1999,.38,.48,.27,.70,.20,.30,.41,.80,.73,.15,.24,.46,.19,.00
2000,.39,.50,.28,.70,.24,.29,.97,.80,.55,.21,.27,.42,.10,.26
2001,.53,.64,.42,.80,.41,.42,1.07,.86,.68,.40,.43,.58,.24,.25
2002,.62,.71,.54,.83,.59,.47,1.26,1.00,.58,.55,.62,.50,.32,.75
2003,.61,.75,.49,.84,.63,.37,1.50,.98,.54,.61,.65,.44,.24,.38
2004,.53,.66,.41,.72,.54,.32,.47,.95,.66,.56,.52,.48,.23,-.05
2005,.67,.85,.49,1.01,.61,.41,1.99,1.22,.57,.62,.60,.49,.19,.65
2006,.63,.82,.45,.98,.55,.40,1.74,1.06,.69,.57,.53,.51,.19,.41
2007,.66,.85,.47,1.13,.46,.47,2.11,1.32,.69,.45,.47,.50,.07,1.22
2008,.54,.68,.40,.91,.37,.39,1.53,1.08,.61,.33,.40,.53,.09,.58
2009,.65,.72,.59,.78,.67,.51,1.42,.60,.68,.65,.69,.60,.15,.96
2010,.72,.90,.54,1.02,.67,.48,2.22,.86,.74,.72,.63,.63,.20,.51
2011,.61,.74,.47,.98,.36,.56,2.35,.94,.58,.39,.34,.64,.18,1.09
2012,.65,.81,.48,1.04,.52,.42,2.21,.93,.73,.48,.56,.56,.19,.42
2013,.67,.80,.55,.95,.57,.54,1.55,1.04,.69,.58,.56,.63,.23,.86
2014,.74,.92,.57,1.07,.66,.52,2.04,1.13,.73,.69,.63,.72,.18,.56
2015,.90,1.18,.62,1.31,.95,.41,2.01,1.48,.99,.97,.92,.75,.18,-.31
2016,1.01,1.31,.72,1.54,1.00,.50,3.25,1.43,1.07,.96,1.05,.68,.26,.40
2017,.92,1.18,.66,1.39,.81,.60,2.53,1.38,1.03,.86,.75,.76,.35,.55
2018,.85,1.03,.66,1.24,.67,.69,2.15,1.08,1.05,.73,.61,.80,.38,.97
2019,.98,1.21,.74,1.41,.89,.65,2.71,1.43,.99,.91,.87,.75,.40,.85
2020,1.02,1.35,.68,1.67,.86,.58,2.91,1.81,1.18,.89,.83,.59,.39,.92
2021,.84,1.14,.55,1.42,.65,.53,2.04,1.35,1.26,.72,.57,.73,.32,.31
